Old Ward Code,New ward code,Ward,Borough,Life_Expectancy,Childhood_Obesity,Unemployment_rate,Public_Transport,Homes_greenspace ,GCSE
00AA,E09000001,City of London,City of London,86.4,24.2,2.4,7.7,-6.5,353.896
00ABFX,E05000026,Abbey,Barking and Dagenham,82.0,22.0,8.5,5.9,-0.9,328.483161
00ABFY,E05000027,Alibon,Barking and Dagenham,79.0,25.9,9.9,3.2,-1.8,324.9010338
00ABFZ,E05000028,Becontree,Barking and Dagenham,79.2,24.1,9.7,2.9,-5.5,328.1919617
00ABGA,E05000029,Chadwell Heath,Barking and Dagenham,80.8,25.2,8.5,2.3,2.0,329.7770531
00ABGB,E05000030,Eastbrook,Barking and Dagenham,79.2,23.6,7.7,2.3,5.7,334.776419
00ABGC,E05000031,Eastbury,Barking and Dagenham,82.0,23.1,9.3,2.8,-8.2,332.4166592
00ABGD,E05000032,Gascoigne,Barking and Dagenham,78.2,23.4,12.9,3.8,-10.0,325.6675542
00ABGE,E05000033,Goresbrook,Barking and Dagenham,80.3,25.3,9.2,2.5,4.8,325.7663188
00ABGF,E05000034,Heath,Barking and Dagenham,78.5,25.7,11.6,2.6,0.4,327.0409441
00ABGG,E05000035,Longbridge,Barking and Dagenham,82.2,23.8,5.1,3.1,-2.2,354.803356
00ABGH,E05000036,Mayesbrook,Barking and Dagenham,80.0,23.1,9.1,2.6,2.4,330.4409466
00ABGJ,E05000037,Parsloes,Barking and Dagenham,79.9,24.8,9.0,2.7,-1.7,335.2360558
00ABGK,E05000038,River,Barking and Dagenham,76.5,26.7,8.4,3.0,2.9,322.657555
00ABGL,E05000039,Thames,Barking and Dagenham,80.1,23.7,9.6,2.3,-6.3,321.9698743
00ABGM,E05000040,Valence,Barking and Dagenham,78.8,22.6,9.3,3.2,-2.4,334.2592905
00ABGN,E05000041,Village,Barking and Dagenham,78.5,26.5,11.8,2.8,7.9,315.5167817
00ABGP,E05000042,Whalebone,Barking and Dagenham,83.4,25.6,6.1,2.9,-15.2,339.8476667
00ACFX,E05000043,Brunswick Park,Barnet,83.5,18.1,4.1,2.8,0.8,365.0039739
00ACFY,E05000044,Burnt Oak,Barnet,78.8,23.5,7.2,3.6,-7.4,332.0275266
00ACFZ,E05000045,Childs Hill,Barnet,81.1,24.7,5.6,4.5,-1.0,356.6263848
00ACGA,E05000046,Colindale,Barnet,83.9,22.1,5.5,2.5,-6.4,335.3716521
00ACGB,E05000047,Coppetts,Barnet,80.6,16.3,5.0,2.9,-2.0,358.1698359
00ACGC,E05000048,East Barnet,Barnet,83.2,18.5,4.4,2.6,4.3,347.6676637
00ACGD,E05000049,East Finchley,Barnet,83.6,14.1,4.1,2.6,-3.4,355.7894049
00ACGE,E05000050,Edgware,Barnet,85.6,21.0,4.2,2.9,-3.8,356.1326952
00ACGF,E05000051,Finchley Church End,Barnet,86.4,15.5,3.4,2.9,-13.3,370.7333404
00ACGG,E05000052,Garden Suburb,Barnet,87.1,8.5,2.1,2.7,1.4,386.2556993
00ACGH,E05000053,Golders Green,Barnet,81.6,17.1,4.5,3.4,-8.9,357.36418
00ACGJ,E05000054,Hale,Barnet,83.7,22.0,4.4,2.5,-5.1,347.9298697
00ACGK,E05000055,Hendon,Barnet,82.2,18.4,4.5,2.6,-7.3,367.4283271
00ACGL,E05000056,High Barnet,Barnet,83.1,16.3,3.0,2.7,3.8,377.3309617
00ACGM,E05000057,Mill Hill,Barnet,85.2,18.8,3.8,2.2,3.7,355.4198697
00ACGN,E05000058,Oakleigh,Barnet,82.7,15.5,3.6,3.2,-7.8,369.9297854
00ACGP,E05000059,Totteridge,Barnet,84.5,13.8,2.6,2.6,8.0,371.1156124
00ACGQ,E05000060,Underhill,Barnet,81.0,17.1,5.3,2.6,4.5,344.6255611
00ACGR,E05000061,West Finchley,Barnet,83.0,13.3,3.6,3.7,-16.1,375.7470049
00ACGS,E05000062,West Hendon,Barnet,83.4,18.9,5.5,3.5,-0.2,357.3130051
00ACGT,E05000063,Woodhouse,Barnet,83.1,18.2,4.6,2.8,-11.5,365.4352176
00ADGA,E05000064,Barnehurst,Bexley,82.6,21.0,3.5,3.0,-1.7,350.740229
00ADGB,E05000065,Belvedere,Bexley,82.6,21.4,6.0,2.5,4.5,323.4226354
00ADGC,E05000066,Blackfen and Lamorbey,Bexley,85.4,19.4,2.5,2.1,-5.0,354.8131699
00ADGD,E05000067,Blendon and Penhill,Bexley,84.4,18.8,2.6,2.0,1.1,355.2638169
00ADGE,E05000068,Brampton,Bexley,85.1,20.2,2.6,2.6,-8.5,359.4586831
00ADGF,E05000069,Christchurch,Bexley,81.6,19.4,3.5,3.4,-2.9,364.7761121
00ADGG,E05000070,Colyers,Bexley,81.6,23.0,6.3,2.0,-12.0,328.9951863
00ADGH,E05000071,Crayford,Bexley,81.9,21.5,5.4,2.0,-2.9,328.7002319
00ADGJ,E05000072,Cray Meadows,Bexley,81.9,24.3,4.5,2.0,10.6,339.7550188
00ADGK,E05000073,Danson Park,Bexley,82.2,19.3,3.4,2.9,5.9,355.6142644
00ADGL,E05000074,East Wickham,Bexley,83.1,22.4,4.2,2.7,-2.4,345.961009
00ADGM,E05000075,Erith,Bexley,81.9,25.8,6.3,2.5,6.9,335.6295886
00ADGN,E05000076,Falconwood and Welling,Bexley,83.2,19.1,3.2,2.5,-9.4,358.4003256
00ADGP,E05000077,Lesnes Abbey,Bexley,82.9,23.2,5.2,2.8,4.8,341.0728834
00ADGQ,E05000078,Longlands,Bexley,81.8,17.4,2.9,2.6,2.8,361.1890308
00ADGR,E05000079,North End,Bexley,78.7,25.4,8.5,2.4,14.8,316.2910618
00ADGS,E05000080,Northumberland Heath,Bexley,82.8,20.5,3.6,2.1,-5.9,341.1737128
00ADGT,E05000081,St Mary's,Bexley,84.9,17.6,2.2,2.6,6.1,370.0958038
00ADGU,E05000082,St Michael's,Bexley,82.8,20.1,3.7,2.1,-8.6,348.1702124
00ADGW,E05000083,Sidcup,Bexley,81.6,16.4,2.5,3.1,3.8,369.7220817
00ADGX,E05000084,Thamesmead East,Bexley,79.9,26.3,8.4,2.5,9.9,335.6659493
00AEGJ,E05000085,Alperton,Brent,82.5,18.4,4.6,3.0,-7.9,335.7327904
00AEGK,E05000086,Barnhill,Brent,79.4,27.9,6.9,2.9,6.8,344.3940687
00AEGL,E05000087,Brondesbury Park,Brent,84.0,19.3,5.4,3.9,-14.7,338.4010558
00AEGM,E05000088,Dollis Hill,Brent,85.5,21.1,7.6,2.8,0.1,329.7991453
00AEGN,E05000089,Dudden Hill,Brent,84.6,23.2,8.2,3.4,-4.0,338.0225865
00AEGP,E05000090,Fryent,Brent,82.4,18.3,5.3,2.8,8.9,349.8634067
00AEGQ,E05000091,Harlesden,Brent,80.5,26.9,19.7,3.8,-14.1,309.477853
00AEGR,E05000092,Kensal Green,Brent,84.3,24.5,12.3,4.0,-3.7,324.3465402
00AEGS,E05000093,Kenton,Brent,87.3,16.4,2.8,2.6,-2.2,371.2320968
00AEGT,E05000094,Kilburn,Brent,83.1,25.7,12.5,5.5,-13.4,325.7412943
00AEGU,E05000095,Mapesbury,Brent,81.5,23.1,7.2,4.5,-10.2,330.6320145
00AEGW,E05000096,Northwick Park,Brent,82.7,19.6,3.2,2.8,-1.1,364.469355
00AEGX,E05000097,Preston,Brent,82.7,22.0,4.9,3.2,0.3,347.5818752
00AEGY,E05000098,Queens Park,Brent,83.8,19.7,6.5,5.0,-5.1,344.4957677
00AEGZ,E05000099,Queensbury,Brent,82.2,22.8,4.4,3.0,-0.8,353.5031824
00AEHA,E05000100,Stonebridge,Brent,79.3,27.5,13.6,3.0,-12.1,314.8873943
00AEHB,E05000101,Sudbury,Brent,81.4,23.9,5.8,3.3,4.4,354.3739896
00AEHC,E05000102,Tokyngton,Brent,81.0,23.5,5.1,3.3,-6.3,332.2595996
00AEHD,E05000103,Welsh Harp,Brent,82.9,26.9,7.5,2.8,8.6,336.2123333
00AEHE,E05000104,Wembley Central,Brent,83.4,20.5,6.2,4.8,-6.6,345.4949702
00AEHF,E05000105,Willesden Green,Brent,80.4,23.1,8.3,4.6,-0.2,320.5707398
00AFGD,E05000106,Bickley,Bromley,81.6,13.1,2.4,2.3,-8.4,382.0732386
00AFGE,E05000107,Biggin Hill,Bromley,84.6,14.3,2.7,1.8,-1.4,345.5735446
00AFGF,E05000108,Bromley Common and Keston,Bromley,83.3,15.4,3.9,2.3,11.9,358.8940133
00AFGG,E05000109,Bromley Town,Bromley,81.5,17.1,3.4,3.8,-1.2,371.4730846
00AFGH,E05000110,Chelsfield and Pratts Bottom,Bromley,85.4,15.9,2.2,2.0,10.1,369.1526908
00AFGJ,E05000111,Chislehurst,Bromley,82.1,15.5,2.7,2.2,6.8,365.4914998
00AFGK,E05000112,Clock House,Bromley,82.7,18.5,3.9,4.0,-2.9,353.1855806
00AFGL,E05000113,Copers Cope,Bromley,82.0,12.1,3.0,3.1,-5.0,347.4284076
00AFGM,E05000114,Cray Valley East,Bromley,81.4,22.6,5.8,2.2,11.5,329.5535959
00AFGN,E05000115,Cray Valley West,Bromley,81.5,21.0,6.7,2.3,-0.8,330.6732276
00AFGP,E05000116,Crystal Palace,Bromley,79.4,22.9,8.1,4.4,11.6,323.8278118
00AFGQ,E05000117,Darwin,Bromley,82.7,17.2,1.8,1.3,7.2,357.5845345
00AFGR,E05000118,Farnborough and Crofton,Bromley,85.5,13.3,2.2,2.3,3.7,375.5447757
00AFGS,E05000119,Hayes and Coney Hall,Bromley,84.2,11.3,2.7,2.3,13.8,369.4492952
00AFGT,E05000120,Kelsey and Eden Park,Bromley,85.3,15.3,2.8,2.7,4.6,362.815915
00AFGU,E05000121,Mottingham and Chislehurst North,Bromley,80.5,20.8,6.6,2.5,5.5,331.7924503
00AFGW,E05000122,Orpington,Bromley,84.1,18.1,4.3,2.8,-5.5,354.9047913
00AFGX,E05000123,Penge and Cator,Bromley,82.4,21.0,7.0,4.0,4.1,335.2625965
00AFGY,E05000124,Petts Wood and Knoll,Bromley,85.9,12.3,2.1,2.5,-0.4,382.7970169
00AFGZ,E05000125,Plaistow and Sundridge,Bromley,79.9,16.7,4.6,2.9,0.3,353.9158447
00AFHA,E05000126,Shortlands,Bromley,87.1,13.8,2.1,2.5,-6.3,380.6346054
00AFHB,E05000127,West Wickham,Bromley,84.5,13.4,2.4,2.2,-1.9,372.4781996
00AGGD,E05000128,Belsize,Camden,86.3,22.7,3.4,4.1,-5.2,345.6540378
00AGGE,E05000129,Bloomsbury,Camden,84.0,22.9,4.7,7.9,0.9,339.0520476
00AGGF,E05000130,Camden Town with Primrose Hill,Camden,84.6,17.1,5.6,5.8,2.1,337.7400791
00AGGG,E05000131,Cantelowes,Camden,81.8,20.7,6.5,4.9,-2.0,334.5683082
00AGGH,E05000132,Fortune Green,Camden,85.3,23.0,4.8,4.6,1.2,325.8075755
00AGGJ,E05000133,Frognal and Fitzjohns,Camden,86.5,11.6,1.9,4.5,-7.0,336.7843434
00AGGK,E05000134,Gospel Oak,Camden,83.3,21.3,6.6,4.0,-1.9,325.1954692
00AGGL,E05000135,Hampstead Town,Camden,87.4,15.1,1.7,4.1,8.9,348.5450761
00AGGM,E05000136,Haverstock,Camden,81.7,26.4,7.6,4.9,-7.4,311.1473074
00AGGN,E05000137,Highgate,Camden,85.1,16.4,5.0,3.9,15.8,322.6649669
00AGGP,E05000138,Holborn and Covent Garden,Camden,84.4,17.8,5.9,7.9,-9.4,324.1531077
00AGGQ,E05000139,Kentish Town,Camden,78.6,26.0,6.0,5.5,-0.9,332.510299
00AGGR,E05000140,Kilburn,Camden,78.5,24.7,8.5,5.6,-5.4,321.3510511
00AGGS,E05000141,King's Cross,Camden,83.8,24.2,7.6,7.7,-2.2,314.8084427
00AGGT,E05000142,Regent's Park,Camden,80.7,24.1,7.1,6.6,6.7,325.2958546
00AGGU,E05000143,St Pancras and Somers Town,Camden,79.6,21.8,10.0,6.5,1.3,320.1958872
00AGGW,E05000144,Swiss Cottage,Camden,84.6,21.6,3.1,6.2,-0.6,335.0780762
00AGGX,E05000145,West Hampstead,Camden,83.4,21.3,4.4,5.9,0.8,343.2227708
00AHGE,E05000146,Addiscombe,Croydon,80.5,17.4,4.7,4.5,-20.3,342.2876046
00AHGF,E05000147,Ashburton,Croydon,82.6,24.6,5.4,2.8,5.1,339.7397732
00AHGG,E05000148,Bensham Manor,Croydon,83.0,24.8,7.7,3.3,-10.3,336.446299
00AHGH,E05000149,Broad Green,Croydon,80.2,26.6,7.3,4.6,-11.2,329.6202524
00AHGJ,E05000150,Coulsdon East,Croydon,84.9,15.1,3.7,1.8,10.7,356.0798515
00AHGK,E05000151,Coulsdon West,Croydon,81.7,17.2,2.7,2.4,-5.1,377.9594492
00AHGL,E05000152,Croham,Croydon,81.4,21.1,4.2,3.2,-2.2,353.2135832
00AHGM,E05000153,Fairfield,Croydon,80.8,21.3,4.2,5.8,-10.5,346.7126593
00AHGN,E05000154,Fieldway,Croydon,80.1,24.1,9.9,3.1,-10.8,312.2799549
00AHGP,E05000155,Heathfield,Croydon,83.9,16.7,3.9,2.3,8.5,341.047977
00AHGQ,E05000156,Kenley,Croydon,81.7,15.1,3.8,1.9,0.6,349.7456765
00AHGR,E05000157,New Addington,Croydon,78.8,25.5,7.8,2.9,5.5,321.2120117
00AHGS,E05000158,Norbury,Croydon,81.6,26.2,6.2,2.9,-0.6,343.9582401
00AHGT,E05000159,Purley,Croydon,83.3,19.1,3.9,2.8,-8.5,369.4211195
00AHGU,E05000160,Sanderstead,Croydon,84.9,18.8,2.8,1.6,3.2,363.9738776
00AHGW,E05000161,Selhurst,Croydon,77.1,24.4,9.2,4.2,-12.4,330.2485451
00AHGX,E05000162,Selsdon and Ballards,Croydon,86.4,19.2,2.5,2.0,7.4,358.8980619
00AHGY,E05000163,Shirley,Croydon,84.3,17.2,4.5,1.9,-8.0,343.2993472
00AHGZ,E05000164,South Norwood,Croydon,80.6,22.7,8.9,3.9,-3.2,346.4260328
00AHHA,E05000165,Thornton Heath,Croydon,80.4,27.1,10.2,3.1,-11.5,333.7824666
00AHHB,E05000166,Upper Norwood,Croydon,80.4,25.3,7.3,2.9,0.7,335.441156
00AHHC,E05000167,Waddon,Croydon,78.1,19.8,6.2,3.7,6.3,340.2084
00AHHD,E05000168,West Thornton,Croydon,81.0,27.2,7.3,3.0,-5.0,337.4525999
00AHHE,E05000169,Woodside,Croydon,81.8,23.4,7.7,3.4,0.2,337.4326706
00AJGC,E05000170,Acton Central,Ealing,82.6,17.5,6.6,3.2,5.6,345.9016039
00AJGD,E05000171,Cleveland,Ealing,83.0,17.8,5.7,2.9,4.2,356.323861
00AJGE,E05000172,Dormers Wells,Ealing,80.6,26.1,8.5,3.2,8.3,331.9141639
00AJGF,E05000173,Ealing Broadway,Ealing,81.5,14.6,3.3,4.7,-7.7,355.6538687
00AJGG,E05000174,Ealing Common,Ealing,80.8,18.2,4.8,3.5,6.0,333.9579959
00AJGH,E05000175,East Acton,Ealing,82.3,20.8,6.8,4.1,2.6,334.6781631
00AJGJ,E05000176,Elthorne,Ealing,81.1,20.0,5.6,3.6,1.7,341.347065
00AJGK,E05000177,Greenford Broadway,Ealing,80.1,24.3,7.5,3.2,2.9,327.5717523
00AJGL,E05000178,Greenford Green,Ealing,82.8,21.9,4.8,2.7,4.5,351.6066273
00AJGM,E05000179,Hanger Hill,Ealing,85.0,19.5,3.1,3.7,-5.8,355.6021027
00AJGN,E05000180,Hobbayne,Ealing,81.6,20.4,5.6,3.0,6.1,349.9468525
00AJGP,E05000181,Lady Margaret,Ealing,80.9,19.3,6.5,2.9,5.6,341.6741897
00AJGQ,E05000182,Northfield,Ealing,83.9,15.3,2.5,3.3,4.4,373.9212927
00AJGR,E05000183,North Greenford,Ealing,84.3,23.0,4.2,2.7,10.4,350.9036463
00AJGS,E05000184,Northolt Mandeville,Ealing,82.8,22.4,7.2,3.0,11.4,329.7946446
00AJGT,E05000185,Northolt West End,Ealing,80.4,20.1,9.5,2.4,8.3,331.8411646
00AJGU,E05000186,Norwood Green,Ealing,79.6,20.8,9.7,2.2,12.5,336.0942113
00AJGW,E05000187,Perivale,Ealing,83.8,23.3,4.9,2.2,5.4,352.6787753
00AJGX,E05000188,South Acton,Ealing,79.2,24.1,6.9,4.6,3.4,341.9610009
00AJGY,E05000189,Southall Broadway,Ealing,80.9,25.0,8.6,3.3,-2.5,337.6000612
00AJGZ,E05000190,Southall Green,Ealing,80.0,24.6,10.6,3.0,0.6,342.5817249
00AJHA,E05000191,Southfield,Ealing,83.0,16.8,3.3,3.3,4.9,344.4319602
00AJHB,E05000192,Walpole,Ealing,81.9,12.5,3.5,3.7,-2.2,371.6982597
00AKGL,E05000193,Bowes,Enfield,84.2,22.2,6.9,3.8,-10.9,337.5270071
00AKGM,E05000194,Bush Hill Park,Enfield,83.0,20.2,3.9,2.7,0.6,358.3691496
00AKGN,E05000195,Chase,Enfield,79.5,20.3,6.4,1.9,15.4,331.4858799
00AKGP,E05000196,Cockfosters,Enfield,84.6,19.5,4.1,2.5,11.4,354.411202
00AKGQ,E05000197,Edmonton Green,Enfield,81.9,28.0,16.2,4.0,3.1,324.9413163
00AKGR,E05000198,Enfield Highway,Enfield,83.0,25.3,9.2,2.5,1.2,317.9796731
00AKGS,E05000199,Enfield Lock,Enfield,79.2,26.9,9.9,2.6,4.3,321.0513666
00AKGT,E05000200,Grange,Enfield,85.2,18.3,3.4,3.1,-5.3,373.8388669
00AKGU,E05000201,Haselbury,Enfield,82.3,24.7,10.0,3.1,0.2,326.2900517
00AKGW,E05000202,Highlands,Enfield,84.9,18.9,3.4,2.6,0.7,358.7953414
00AKGX,E05000203,Jubilee,Enfield,80.7,27.2,8.8,2.5,9.8,327.8705114
00AKGY,E05000204,Lower Edmonton,Enfield,81.1,29.7,10.7,3.4,2.6,320.6685563
00AKGZ,E05000205,Palmers Green,Enfield,83.4,23.8,5.8,2.5,-4.4,348.2060298
00AKHA,E05000206,Ponders End,Enfield,80.4,28.5,12.5,3.2,6.9,325.9940364
00AKHB,E05000207,Southbury,Enfield,83.0,22.8,7.6,3.1,4.4,324.2887412
00AKHC,E05000208,Southgate,Enfield,82.6,20.8,4.4,3.1,-3.4,368.5802242
00AKHD,E05000209,Southgate Green,Enfield,83.0,17.9,4.8,3.8,-3.4,361.9903374
00AKHE,E05000210,Town,Enfield,84.0,19.0,4.0,2.5,-5.5,350.7492322
00AKHF,E05000211,Turkey Street,Enfield,80.3,25.0,9.1,2.5,0.2,316.0950283
00AKHG,E05000212,Upper Edmonton,Enfield,77.5,26.8,11.1,3.2,-1.2,323.2498703
00AKHH,E05000213,Winchmore Hill,Enfield,82.1,16.8,3.8,2.8,-5.7,374.111857
00ALGP,E05000214,Abbey Wood,Greenwich,79.1,28.1,8.2,3.1,7.9,324.793953
00ALGQ,E05000215,Blackheath Westcombe,Greenwich,81.6,19.0,3.3,3.4,-2.7,363.3093283
00ALGR,E05000216,Charlton,Greenwich,78.2,23.3,7.1,3.8,1.1,335.712724
00ALGS,E05000217,Coldharbour and New Eltham,Greenwich,81.3,21.6,5.1,2.8,-3.9,344.5876507
00ALGT,E05000218,Eltham North,Greenwich,83.9,14.3,3.9,2.9,-0.9,366.2219594
00ALGU,E05000219,Eltham South,Greenwich,82.4,21.9,5.2,3.3,5.2,347.0442429
00ALGW,E05000220,Eltham West,Greenwich,79.2,20.4,6.3,3.0,-3.1,320.3011282
00ALGX,E05000221,Glyndon,Greenwich,77.0,25.1,10.0,3.8,1.0,325.219374
00ALGY,E05000222,Greenwich West,Greenwich,81.1,24.3,5.1,4.3,9.5,336.8843882
00ALGZ,E05000223,Kidbrooke with Hornfair,Greenwich,81.4,23.1,6.7,2.6,-1.6,329.4206554
00ALHA,E05000224,Middle Park and Sutcliffe,Greenwich,81.6,23.2,7.8,2.4,-0.3,326.2678564
00ALHB,E05000225,Peninsula,Greenwich,81.4,19.8,4.2,4.2,3.5,333.9639498
00ALHC,E05000226,Plumstead,Greenwich,80.8,23.5,9.7,3.5,1.3,329.4960725
00ALHD,E05000227,Shooters Hill,Greenwich,82.7,24.9,5.6,2.4,7.4,348.4976663
00ALHE,E05000228,Thamesmead Moorings,Greenwich,77.1,25.6,8.4,2.6,2.1,328.6470194
00ALHF,E05000229,Woolwich Common,Greenwich,79.1,21.7,12.3,4.1,2.9,328.785022
00ALHG,E05000230,Woolwich Riverside,Greenwich,78.1,25.7,10.2,4.3,-7.8,322.3436633
00AMGA,E05000231,Brownswood,Hackney,80.9,25.7,6.2,5.9,-2.2,330.3051053
00AMGB,E05000232,Cazenove,Hackney,85.2,21.2,9.2,4.8,-6.6,333.3345607
00AMGC,E05000233,Chatham,Hackney,80.3,28.3,13.5,5.8,-1.2,324.151833
00AMGD,E05000234,Clissold,Hackney,80.8,18.2,6.2,3.7,-1.4,343.7412946
00AMGE,E05000235,Dalston,Hackney,80.3,23.2,11.4,5.6,-1.9,328.7369805
00AMGF,E05000236,De Beauvoir,Hackney,78.5,25.3,9.1,4.7,-0.3,332.6806646
00AMGG,E05000237,Hackney Central,Hackney,79.8,27.0,11.1,6.7,-6.2,332.9500941
